,TP,TN,FP,FN,ACC,TPR,FPR
244,2668,3307,3450,2789,0.48919272965449484,0.4889133223382811,0.5105816190617137
245,2658,3444,3382,2730,0.4995906336990339,0.4933184855233853,0.4954585408731321
246,2734,3379,3355,2746,0.5004912395611594,0.4989051094890511,0.4982179982179982
247,2802,3294,3396,2722,0.4990993941378746,0.5072411296162201,0.5076233183856502
248,2681,3367,3411,2755,0.4951694776486,0.4931935246504783,0.5032457952198288
249,2699,3352,3471,2692,0.4954150974291796,0.500649230198479,0.5087205041770482
250,2718,3410,3353,2733,0.5017193384640576,0.49862410566868465,0.49578589383409727
251,2747,3348,3431,2688,0.49901752087768136,0.5054277828886845,0.5061218468800708
252,2715,3384,3397,2718,0.4993450139184542,0.49972390944229705,0.5009585606842648
253,2680,3455,3331,2748,0.5022924512854102,0.4937361827560796,0.4908635425876805
254,2647,3451,3354,2762,0.499263140658261,0.48936956923645775,0.4928728875826598
255,2693,3450,3430,2641,0.5029474373669559,0.5048743907011624,0.498546511627907
256,2699,3353,3403,2759,0.4954969706893729,0.4945034811286185,0.503700414446418
257,2607,3473,3387,2747,0.49778942197478304,0.4869256630556593,0.49373177842565596
258,2724,3416,3365,2709,0.5027018175863763,0.5013804527885146,0.4962394927001917
259,2702,3401,3427,2684,0.4996725069592271,0.5016709988860008,0.5019039250146455
260,2768,3282,3394,2770,0.4953332241689864,0.49981942939689417,0.5083882564409826
261,2689,3395,3360,2770,0.49811691501555594,0.4925810588019784,0.49740932642487046
262,2728,3326,3481,2679,0.4956607172097593,0.5045311633068245,0.5113853386220067
263,2726,3411,3334,2743,0.5024561978057966,0.4984457853355275,0.49429206819866567
264,2727,3397,3384,2706,0.5013918454232847,0.5019326339039205,0.49904143931573514
265,2662,3459,3364,2729,0.5011462256427051,0.49378593952884436,0.49303825296790266
266,2701,3388,3407,2718,0.49852628131652205,0.4984314449160362,0.5013980868285504
267,2633,3435,3359,2787,0.4968069428524644,0.48579335793357936,0.49440682955549015
268,2799,3374,3440,2601,0.5054036351727526,0.5183333333333333,0.5048429703551511
269,2676,3440,3397,2701,0.500736859341739,0.4976752836153989,0.4968553459119497
270,2681,3357,3433,2743,0.49435074504666776,0.49428466076696165,0.5055964653902798
271,2677,3440,3409,2688,0.5008187326019322,0.4989748369058714,0.49773689589721126
272,2765,3340,3396,2713,0.4998362534796136,0.504746257758306,0.5041567695961995
273,2767,3396,3365,2686,0.5045849025708203,0.5074271043462314,0.4977074397278509
274,2680,3364,3396,2774,0.4948419846078271,0.49138247158049136,0.5023668639053255
275,2677,3374,3431,2732,0.4954150974291796,0.49491588093917543,0.5041880969875092
276,2731,3366,3436,2681,0.4991812673980678,0.504619364375462,0.5051455454278153
277,2665,3384,3378,2787,0.4952513509087932,0.4888114453411592,0.49955634427684115
278,2748,3388,3408,2670,0.5023743245456034,0.5071982281284607,0.5014714537963508
279,2776,3403,3380,2655,0.5058948747339119,0.5111397532682748,0.4983045849918915
280,2762,3347,3409,2696,0.5001637465203864,0.5060461707585197,0.5045885139135583
281,2799,3351,3303,2761,0.5035205501883085,0.5034172661870504,0.49639314697926057
282,2782,3434,3338,2660,0.5089241853610611,0.5112091142962146,0.4929119905493207
283,2732,3420,3355,2707,0.503684296708695,0.5022982165839309,0.4952029520295203
284,2726,3391,3351,2746,0.5008187326019322,0.49817251461988304,0.49703352121032335
285,2736,3418,3342,2718,0.5038480432290814,0.5016501650165016,0.4943786982248521
286,2783,3376,3243,2812,0.5042574095300475,0.49740840035746203,0.4899531651306844
287,2723,3405,3353,2733,0.5017193384640576,0.49908357771260997,0.4961527079017461
288,2754,3401,3395,2664,0.5039299164892747,0.5083056478405316,0.49955856386109476
289,2753,3440,3370,2651,0.507041100376617,0.5094374537379719,0.4948604992657856
290,2688,3386,3431,2709,0.4972981824136237,0.4980544747081712,0.5033005720991639
291,2670,3415,3416,2713,0.49819878827574915,0.496005944640535,0.5000731957253697
292,2685,3432,3425,2672,0.5008187326019322,0.5012133656897517,0.49948957269943123
293,2681,3362,3367,2804,0.49476011134763387,0.48878760255241566,0.5003715262297518
294,2705,3427,3395,2687,0.5020468315048305,0.5016691394658753,0.4976546467311639
295,2702,3298,3426,2788,0.4912395611593254,0.49216757741347905,0.5095181439619274
296,2655,3461,3399,2699,0.500736859341739,0.4958909226746358,0.49548104956268224
297,2764,3399,3411,2640,0.5045849025708203,0.5114729829755736,0.5008810572687225
298,2723,3397,3340,2754,0.5010643523825119,0.4971699835676465,0.4957696303992875
299,2743,3368,3439,2664,0.5003274930407728,0.5073053449232476,0.5052152196268547
300,2790,3376,3319,2729,0.5048305223514,0.5055263634716434,0.4957430918595967
301,2705,3374,3371,2764,0.49770754871458983,0.49460596087036024,0.49977761304670126
302,2743,3342,3398,2731,0.49819878827574915,0.5010960906101571,0.5041543026706231
303,2657,3368,3395,2794,0.49328639266415586,0.4874334984406531,0.5019961555522697
304,2663,3315,3516,2720,0.4894383494350745,0.4947055545234999,0.5147123407992973
305,2667,3471,3318,2758,0.5025380710659898,0.4916129032258065,0.4887317719840919
306,2713,3388,3352,2761,0.4995087604388407,0.4956156375593716,0.4973293768545994
307,2756,3470,3313,2675,0.5097429179629933,0.5074571902043823,0.4884269497272593
308,2709,3392,3358,2755,0.4995087604388407,0.49579062957540265,0.49748148148148147
309,2710,3387,3401,2716,0.4991812673980678,0.49944710652414304,0.5010312315851503
310,2706,3341,3404,2763,0.49508760438840677,0.4947888096544158,0.5046701260192735
311,2701,3373,3453,2687,0.4972981824136237,0.5012991833704529,0.5058599472604747
312,2751,3300,3436,2727,0.4954150974291796,0.5021905805038335,0.5100950118764845
313,2712,3379,3432,2691,0.49869002783690847,0.5019433647973348,0.5038907649390691
314,2754,3419,3342,2699,0.5054036351727526,0.5050430955437374,0.4943055760982103
315,2758,3529,3280,2647,0.5147371868347798,0.510268270120259,0.48171537670729914
316,2656,3349,3457,2752,0.4916489274602915,0.4911242603550296,0.5079341757272995
317,2761,3444,3279,2730,0.5080235794989356,0.5028228009470042,0.48772869254796963
318,2769,3422,3383,2640,0.5068773538562306,0.511924570160843,0.49713445995591476
319,2737,3469,3352,2656,0.5081054527591289,0.5075097348414611,0.4914235449347603
320,2718,3464,3287,2745,0.5061404945144916,0.4975288303130148,0.4868908309880018
321,2683,3436,3413,2682,0.5009824791223186,0.5000931966449208,0.49832092276244705
322,2595,3503,3334,2782,0.499263140658261,0.4826111214431839,0.4876407781190581
323,2719,3384,3378,2733,0.4996725069592271,0.4987160674981658,0.49955634427684115
324,2645,3404,3450,2715,0.4952513509087932,0.49347014925373134,0.5033557046979866
325,2741,3358,3386,2729,0.4993450139184542,0.5010968921389397,0.5020759193357058
326,2672,3392,3307,2843,0.4964794498116915,0.48449682683590206,0.49365576951783846
327,2712,3408,3385,2709,0.5010643523825119,0.5002767017155506,0.4983070808184896
328,2778,3316,3416,2704,0.49893564761748815,0.5067493615468807,0.5074272133095663
329,2704,3382,3433,2695,0.49828066153594236,0.5008334876829043,0.5037417461482024
330,2742,3402,3341,2729,0.5030293106271492,0.5011880826174374,0.4954767907459588
331,2665,3402,3500,2647,0.49672506959227114,0.5016942771084337,0.5070993914807302
332,2721,3355,3427,2711,0.49746192893401014,0.500920471281296,0.5053081686818047
333,2713,3395,3385,2721,0.5000818732601933,0.4992638940007361,0.49926253687315636
334,2785,3351,3394,2684,0.5023743245456034,0.509233863594807,0.5031875463306152
335,2735,3316,3396,2767,0.4954150974291796,0.4970919665576154,0.5059594755661502
336,2740,3394,3409,2671,0.502210578025217,0.5063759009425245,0.5011024547993532
337,2671,3508,3377,2658,0.5058948747339119,0.5012197410395947,0.49048656499636895
338,2704,3363,3442,2705,0.49672506959227114,0.49990756147162135,0.5058045554739162
339,2671,3416,3383,2744,0.49836253479613557,0.4932594644506002,0.49757317252537137
340,2647,3349,3480,2738,0.4909120681185525,0.4915506035283194,0.5095914482354664
341,2671,3436,3426,2681,0.5,0.4990657698056801,0.4992713494607986
342,2665,3412,3356,2781,0.49754380219420336,0.4893499816378994,0.4958628841607565
343,2646,3444,3426,2698,0.49860815457671526,0.49513473053892215,0.49868995633187774
344,2746,3391,3336,2741,0.5024561978057966,0.5004556223801713,0.4959119964322878
345,2729,3405,3416,2664,0.502210578025217,0.506026330428333,0.500806333382202
